REFERENCIA;REFERENCIAS ALTERNAS;NOMBRE;DESCRIPCION;MARCA;LINEA;SUB-LINEA;CLASIFICACION;INVENTARIO;PRECIO LISTA
45900 HDR;29878 0001L;BUJE SUSPENSION PUNTA TANDEM TIPO NUEVO;BUJE SUSPENSION PUNTA TANDEM TIPO NUEVO;HENDRICKSON;HENDRICKSON;HENDRICKSON;SUSPENSION;1758,00;$ 165.561,00
R201309;KB836CB;"JUEGO SPLINDER (JGO X 14) PLASTICO INTER/COLUMBIA/M2 112 1,794"" X 10,395"" DOBLE CUÑERO CONTRARIO";"JUEGO SPLINDER (JGO X 14) PLASTICO INTER/COLUMBIA/M2 112 1,794"" X 10,395"" DOBLE CUÑERO CONTRARIO";MERITOR;MERITOR;MERITOR;DIFERENCIAL;480,00;$ 663.100,00
108925-82AM;#N/D;KIT EMBRAGUE 15X2 PRENSA 9 RESORTES DISCO 7 RESORTES 4 TACOS;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;117,00;#N/D
2234H1438/C1069;#N/D;PLANETARIO ESCUALIZACION 46160 / C1069;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;1594,00;#N/D
A39890-5;A39890-5WAP;CORONA Y SPEED RS 9X41 46160 TRAS (SP41283K);CORONA Y SPEED RS 9X41 46160 TRAS (SP41283K);MERITOR;MERITOR;MERITOR;DIFERENCIAL;89,00;$ 2.952.900,00
KISX6429511;5693811 459-5512CLE;OVERHAUL CUMMINS ISX CON PISTON CON APR CAMISA 150MM CONTIENE (KIT PISTON (PISTON 4357150 + BULON 3689296 + PINES DE BULON 3064305 + JGO X 3 ANILLOS) X6 UNDS) + (KIT CAMISA 150 MM CON APR (CAMISA 5658395 + CAUCHO ROSADO 3678738 CON SHIM DE AJUSTE INCORPORADO) X6 UNDS) + CASQUETES DE BANCADA CON MEDIALUNAS 5406110 X1 JGO + ORING DE LA POMA O TUBO SUCCION ACEITE 3678756 X1 UND + EMPAQUE DEL CARTER 4026684 X1 UND + EMPAQUETADURA SUPERIOR 4352144 X1 UND + VALULA PRESION ALIVIO DE ACEITE 4357177 X1 UND + FILTRO DE COMBUSTIBLE 4010650 X1 UND (REF FLEETGUAR FS 1007) + FILTRO DE ACEITE 4367100 X1 UND (REF FLEETGUARD 14000NN) + CASQUETES DE BIELA CORTE NORMAL 4089405 X6 PAREJAS + CASQUES BIELA FRACTURADA 2882087 X6 PAREJAS + ROCIADOR DE ACEITE 3687058 X6 UNDS + TORNILLO ROCIADOR DEL PISTON 3679037 X6 UNDS + ESPARRAGOS 3689587 X4 UNDS + TUERCAS DEL ESPARRAGO 4298975 X4 UNDS;OVERHAUL CUMMINS ISX CON PISTON CON APR CAMISA 150MM CONTIENE (KIT PISTON (PISTON 4357150 + BULON 3689296 + PINES DE BULON 3064305 + JGO X 3 ANILLOS) X6 UNDS) + (KIT CAMISA 150 MM CON APR (CAMISA 5658395 + CAUCHO ROSADO 3678738 CON SHIM DE AJUSTE INCORPORADO) X6 UNDS) + CASQUETES DE BANCADA CON MEDIALUNAS 5406110 X1 JGO + ORING DE LA POMA O TUBO SUCCION ACEITE 3678756 X1 UND + EMPAQUE DEL CARTER 4026684 X1 UND + EMPAQUETADURA SUPERIOR 4352144 X1 UND + VALULA PRESION ALIVIO DE ACEITE 4357177 X1 UND + FILTRO DE COMBUSTIBLE 4010650 X1 UND (REF FLEETGUAR FS 1007) + FILTRO DE ACEITE 4367100 X1 UND (REF FLEETGUARD 14000NN) + CASQUETES DE BIELA CORTE NORMAL 4089405 X6 PAREJAS + CASQUES BIELA FRACTURADA 2882087 X6 PAREJAS + ROCIADOR DE ACEITE 3687058 X6 UNDS + TORNILLO ROCIADOR DEL PISTON 3679037 X6 UNDS + ESPARRAGOS 3689587 X4 UNDS + TUERCAS DEL ESPARRAGO 4298975 X4 UNDS;CUMMINS;CUMMINS;CUMMINS;MOTOR;17,00;$ 14.478.239,00
LF14000NN;"DONALDSON P559000 /P550949 4367100
";"FILTRO ACEITE MOTOR CUMMINS ISX: KW T800, INT-PROSTAR, INT-EAGLE 9400I, FRL-M2; MOTOR CUMMINS ISM INT-WORKSTAR7600 (P559000 TIENE CAPA DE CELULOSA Y CAPA CON FIBRA SINTÉTICA MIENTRAS QUE EL LF14000NN ES 100% SINTÉTICO, LO CUAL LO HACE MÁS RESISTENTE A LA HUMEDAD, VIBRACIONES Y FLUCTUACIONES DE PRESIÓN NATURALES EN LA OPERACIÓN DE UN MOTOR) (UNIDAD DE EMPAQUE X 6 UNIDADES)";"FILTRO ACEITE MOTOR CUMMINS ISX: KW T800, INT-PROSTAR, INT-EAGLE 9400I, FRL-M2; MOTOR CUMMINS ISM INT-WORKSTAR7600 (P559000 TIENE CAPA DE CELULOSA Y CAPA CON FIBRA SINTÉTICA MIENTRAS QUE EL LF14000NN ES 100% SINTÉTICO, LO CUAL LO HACE MÁS RESISTENTE A LA HUMEDAD, VIBRACIONES Y FLUCTUACIONES DE PRESIÓN NATURALES EN LA OPERACIÓN DE UN MOTOR) (UNIDAD DE EMPAQUE X 6 UNIDADES)";FLEETGUARD;FLEETGUARD;FLEETGUARD;FILTROS;1820,00;$ 128.300,00
SPL250X-3X/DANA;0;CRUCETA CARDAN KENWORTH/INTERNATIONAL 200 PRECISION 3947698 LONGITUD TOTAL 17 CM DADO A DADO Y DIAMETRO DEL DADO 60 MM;CRUCETA CARDAN KENWORTH/INTERNATIONAL 200 PRECISION 3947698 LONGITUD TOTAL 17 CM DADO A DADO Y DIAMETRO DEL DADO 60 MM;SPICER;DANA;DANA;DIFERENCIAL;458,00;$ 513.871,00
KISX430938900S/6462543;6462543;OVERHAUL REPARACION MENOR SIN PISTON SIN APR CAMISA 150MM CUMMINS ISX CONTIENE (KIT CAMISA (CAMISA 4376430 CON SHIM DE AJUSTE SIN APR) X1 UND + JGO X 3 ANILLOS + CASQUETES DE BANCADA Y MEDIALUNAS 5406110 X1 JGO + CASQUETES DE BIELA CORTE NORMAL 4089405 X1 JGO + EMPAQUE DEL CARTER 4026684 1 UND + EMPAQUETADURA SUPERIOR 4352144 X1 UND;OVERHAUL REPARACION MENOR SIN PISTON SIN APR CAMISA 150MM CUMMINS ISX CONTIENE (KIT CAMISA (CAMISA 4376430 CON SHIM DE AJUSTE SIN APR) X1 UND + JGO X 3 ANILLOS + CASQUETES DE BANCADA Y MEDIALUNAS 5406110 X1 JGO + CASQUETES DE BIELA CORTE NORMAL 4089405 X1 JGO + EMPAQUE DEL CARTER 4026684 1 UND + EMPAQUETADURA SUPERIOR 4352144 X1 UND;CUMMINS;CUMMINS;CUMMINS;MOTOR;32,00;$ 6.847.826,00
122002-35A;#N/D;KIT EMBRAGUE CAJA AUTOMATIZADA (CON DISCO DE FRENO K4134) FO-16E318B-MXP ECA CLUTCH;#N/D;EATON CLUTCH;FULLER;EATON CLUTCH;TRANSMISION;44,00;#N/D
4304510B;#N/D;PIÑON 5TA CORREDIZO 16918;#N/D;FULLER;FULLER;FULLER;TRANSMISION;524,00;#N/D
4301795;0;PIÑON DEL MONO TODAS 18 CAMBIOS;PIÑON DEL MONO TODAS 18 CAMBIOS;FULLER;FULLER;FULLER;TRANSMISION;310,00;$ 676.000,00
A11205X2728;A11205X2728/85910EXC;"RETENEDOR DIVISOR 160-145-185 DIAMETRO INTERNO 3-1/4""";"RETENEDOR DIVISOR 160-145-185 DIAMETRO INTERNO 3-1/4""";MERITOR;MERITOR;MERITOR;DIFERENCIAL;1499,00;$ 151.327,00
TRATM-100/8844;14048 PARTCRAFT;EMPAQUETADURA CAJA DIRECCIÓN SHEPPARD M100 SIS HIDRAU/ RET EAGLE COMPLETA;EMPAQUETADURA CAJA DIRECCIÓN SHEPPARD M100 SIS HIDRAU/ RET EAGLE COMPLETA;TRANSTEC;TRANSTEC;TRANSTEC;DIRECCION;444,00;$ 472.900,00
A11205A2731;BRA11205A2731 A11205A2731SELECT A11205A2731A/72990EXC;"RETENEDOR SPEED 46160 DIAMETRO INTERNO 3-1/4""";"RETENEDOR SPEED 46160 DIAMETRO INTERNO 3-1/4""";MERITOR;MERITOR;MERITOR;DIFERENCIAL;1393,00;$ 155.433,00
WAB9650011030;#N/D;0;#N/D;WABCO;WABCO;WABCO;AIRE;128,00;#N/D
A40104-5;A40104-5WAP;CORONA Y SPEED 8X43 TRASERA RS 46160 (SP41287K);CORONA Y SPEED 8X43 TRASERA RS 46160 (SP41287K);MERITOR;MERITOR;MERITOR;DIFERENCIAL;69,00;$ 2.876.100,00
SET403TMK;0;SET RODILLO Y PISTA (594A/592) INTERNO PARA RUEDA TRASERA DE KENWORTH, FREIGHTLINER, INTERNATIONAL, BRIGADIER Y SUPERBRIGADIER COMPAÑERO (SET401) Y SETS LATERALES PARA DIFERENCIAL 46-160;SET RODILLO Y PISTA (594A/592) INTERNO PARA RUEDA TRASERA DE KENWORTH, FREIGHTLINER, INTERNATIONAL, BRIGADIER Y SUPERBRIGADIER COMPAÑERO (SET401) Y SETS LATERALES PARA DIFERENCIAL 46-160;TIMKEN;TIMKEN;TIMKEN;RODAMIENTO;897,00;$ 222.634,00
4302381B/4305663/2383;#N/D;PIÑON SELLADO 4TA CDIZO 14915/16915 48T;#N/D;FULLER;FULLER;FULLER;TRANSMISION;566,00;#N/D
104101-6C;#N/D;0;#N/D;FULLER;FULLER;FULLER;EMBRAGUE;86,00;#N/D
A1228Q2253/98504A;#N/D;RODILLO PILOTO 46-160/MD150/MR155 1228B1042;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;1408,00;#N/D
2S-DP/Q995582/Q995617;0;"KIT REPARACION MAYOR 2 TIEMPOS BALINERA 39mmALTURA PARA VENTILADOR DE 2 1/2"" Y 5"" (MANZANA)";"KIT REPARACION MAYOR 2 TIEMPOS BALINERA 39mmALTURA PARA VENTILADOR DE 2 1/2"" Y 5"" (MANZANA)";HORTON;HORTON;HORTON;AIRE;59,00;$ 2.925.584,00
A13297X1194/S1605;A13297S1605;EJE DIVISOR 46160;EJE DIVISOR 46160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;152,00;$ 1.065.300,00
A41458-1;0;CORONA Y SPEED 7X43 TRASERA S 145 (SP41751) CÑERA A41468-1;CORONA Y SPEED 7X43 TRASERA S 145 (SP41751) CÑERA A41468-1;MERITOR;MERITOR;MERITOR;DIFERENCIAL;61,00;$ 2.831.600,00
WAB9111539212;VAD25 03 50;CULATA P/COMPRESOR CUMMINS ISX 9111535100/9111530210 (NOTA: ANTES DE INSTALAR SE DEBE VERIFICAR TORQUE DE TORNILLERIA);CULATA P/COMPRESOR CUMMINS ISX 9111535100/9111530210 (NOTA: ANTES DE INSTALAR SE DEBE VERIFICAR TORQUE DE TORNILLERIA);WABCO;WABCO;WABCO;AIRE;200,00;$ 839.359,00
1S-DP/Q995568;0;"KIT REPARACION MAYOR BALINERA 39mmALTURA PARA VENTILADOR DE 2 1/2"" Y 5"" (MANZANA) SIN SEPARADORES";"KIT REPARACION MAYOR BALINERA 39mmALTURA PARA VENTILADOR DE 2 1/2"" Y 5"" (MANZANA) SIN SEPARADORES";HORTON;HORTON;HORTON;AIRE;78,00;$ 1.784.044,00
5003323/10094142;#N/D;SOPORTE CARDAN SPL/INTE/EAGLE DIAMETRO INTERNO 60mm;#N/D;SPICER;DANA;DANA;DIFERENCIAL;657,00;#N/D
1229L3002/9805;#N/D;ARANDELA PLANETARIO 46-160 CON LUBRICACION;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;8831,00;#N/D
TRATAS85000/8103;14035 PARTCRAFT;EMPAQUETADURA COMPLETA PARA CAJA DE DIRECCIÓN TRW TAS 85 FREIG/CASCADIA MOD 2015/ KENWORTH T800;EMPAQUETADURA COMPLETA PARA CAJA DE DIRECCIÓN TRW TAS 85 FREIG/CASCADIA MOD 2015/ KENWORTH T800;TRANSTEC;TRANSTEC;TRANSTEC;DIRECCION;574,00;$ 253.086,00
489-5004 CLE;#N/D;OVERHAUL INTERNATIONAL DT466 PISTON 1817520 CONTIENE KIT PISTON S57890 (PISTON 1817520 + BULON + PINES) (6) + KIT CAMISA 226-1919 (CAMISA 226-4448 + CAUCHOS (X2) (6) + JGO CASQUETE DE BANCADA MS1642 CON MEDIA LUENAS + CASQUETES DE BIELA CB1365 (X6 PAREJAS) + EMPAQUETADURA SUPERIOR (INCLUYE EMPAQUE DEL CARTER) EK3515 (1);#N/D;CLEVITE;MAHLE;CLEVITE;MOTOR;37,00;#N/D
9278/9220MER/98536;#N/D;SET RODAMIENTO SPEED TRASERO INTERNO 46-160 (9278/9220);#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;668,00;#N/D
A6848;4303938-4303882;TORRE MONO 14915/16915;TORRE MONO 14915/16915;FULLER;FULLER;FULLER;TRANSMISION;87,00;$ 1.441.362,00
PAI466-101-001;#N/D;OVERHAUL INTERNATIONAL DT466 PISTON 1817520 TIPO HONGO CONTIENE KIT MOTOR 401005 OEM 1817645 (PISTON (410001 OEM 1817520) X6 UNDS + BULON X6 UNDS + PINES X12 UNDS + ANILLOS X6 JGOS + CAMISA (400005 OEM 1810504) X6 UNDS + CAUHOS CAMISA X6 + CASQUETERIA BIELA STD (470070 OEM 1823855) X1 JGO + CASQUETERIA BANCADA STD (470020 OEM 1823847) X1 JGO + EMPAQUETADURA SUPERIOR (431204 OEM 1817254) X1 UND + EMPAQUE CARTER (431201 OEM 671827) X1 UND CON EMPAQUES PEQUEÑOS X2;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;35,00;#N/D
R801074/TIPO 3;#N/D;"RACHE AUTOMATICO TIPO3 6"" 28. E";#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;545,00;#N/D
52400/52618/SET289MER/802610;#N/D;SET RODAMIENTO LATERAL 46-160 (52400/52618);#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;806,00;#N/D
34013 087L;0;CORBATIN SUSPENSION PUNTA TANDEM HENDRIKSON (JGO X2);CORBATIN SUSPENSION PUNTA TANDEM HENDRIKSON (JGO X2);HENDRICKSON;HENDRICKSON;HENDRICKSON;SUSPENSION;240,00;$ 506.194,00
8593/8597;#N/D;BOLSA DELANTERA PARA BLUE BIRD;#N/D;FIRESTONE;FIRESTONE;FIRESTONE;SUSPENSION;199,00;#N/D
1229S4985;0;ARANDELA BRONCE DIVISOR 145-160;ARANDELA BRONCE DIVISOR 145-160;MERITOR;MERITOR;MERITOR;DIFERENCIAL;1447,00;$ 82.700,00
B39882-1;0;CORONA Y SPEED DELANTERA 9X41 46160 (SP39887K);CORONA Y SPEED DELANTERA 9X41 46160 (SP39887K);MERITOR;MERITOR;MERITOR;DIFERENCIAL;39,00;NO VTA REPARACION
5680039;141348 PAI 5679854 5599284 5532492;"BOMBA DE ACEITE ISX MODERNA VIENE EN HIERRO

LA BOMBA EN MARCA PAI TIPO VIEJO REFERENCIA 4309500/141413PAI, VIENE EN ALUMNIO";"BOMBA DE ACEITE ISX MODERNA VIENE EN HIERRO

LA BOMBA EN MARCA PAI TIPO VIEJO REFERENCIA 4309500/141413PAI, VIENE EN ALUMNIO";CUMMINS;CUMMINS;CUMMINS;MOTOR;24,00;$ 4.550.304,00
1090-09650-01;9908504;FAN CLUTCH TIPO KYSOR K32S ENTRADA POR ATRAS TAPA NEGRA;FAN CLUTCH TIPO KYSOR K32S ENTRADA POR ATRAS TAPA NEGRA;BORGWARNER;BORGWARNER;BORGWARNER;AIRE;83,00;$ 1.806.540,00
4303357;0;PIÑON CENTRAL 16915;PIÑON CENTRAL 16915;FULLER;FULLER;FULLER;TRANSMISION;190,00;$ 577.200,00
K3340;0;KIT RODAMIENTO PARA CAJA RTLO16918B PARA MODELOS ANTES DEL 2016 QUE USA CARCASA DEL MONO 4303586 Y RODILLO DEL MONO 5556503 ;KIT RODAMIENTO PARA CAJA RTLO16918B PARA MODELOS ANTES DEL 2016 QUE USA CARCASA DEL MONO 4303586 Y RODILLO DEL MONO 5556503 ;FULLER;FULLER;FULLER;TRANSMISION;53,00;$ 2.373.160,00
A11205Y2729;A11205Y2729/73010EXC;"RETENEDOR EJE SALIDA 145/160/MD150 DIAMETRO INTERNO 3""";"RETENEDOR EJE SALIDA 145/160/MD150 DIAMETRO INTERNO 3""";MERITOR;MERITOR;MERITOR;DIFERENCIAL;733,00;$ 160.240,00
VAD25 03 50;WAB9111539212;CULATA P/COMPRESOR CUMMINS ISX 9111535100 WABCO 9111539212;CULATA P/COMPRESOR CUMMINS ISX 9111535100 WABCO 9111539212;VADEN;VADEN;VADEN;AIRE;364,00;$ 369.600,00
SET415MER/802802;#N/D;SET RODILLO Y PISTA (HM518445/HM518410) INTERNO Y EXTERNO PARA RUEDA DE TRAILER INCA Y AMPRO MODELO NUEVO;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;1063,00;#N/D
18025;0;ENFRIADOR ACEITE TIPO PANAL KENWORTH T800 VIENE DE 3 TUBOS;ENFRIADOR ACEITE TIPO PANAL KENWORTH T800 VIENE DE 3 TUBOS;FULLER;FULLER;FULLER;TRANSMISION;157,00;$ 807.225,00
KISM3803703;0;REPARACION MENOR ISM CONTIENE KIT CAMISA 3803703 (6) + JGO ANILLOS 3803977 (6) + JGO CASQUETES BANCADA CON MEDIALUNAS 4025120/5473397 (1) + (UNIDAD) CASQUETES BIELA CORTE NORMAL 3016760 (12) + EMPAQUETADURA SUPERIOR 4089478 (1) + EMPAQUE CARTER 5394102 (1) + ORING TUBO SUCCIÓN DE ACEITE 3032787 (2) + ROCIADORES ACEITE 3080708 (6);REPARACION MENOR ISM CONTIENE KIT CAMISA 3803703 (6) + JGO ANILLOS 3803977 (6) + JGO CASQUETES BANCADA CON MEDIALUNAS 4025120/5473397 (1) + (UNIDAD) CASQUETES BIELA CORTE NORMAL 3016760 (12) + EMPAQUETADURA SUPERIOR 4089478 (1) + EMPAQUE CARTER 5394102 (1) + ORING TUBO SUCCIÓN DE ACEITE 3032787 (2) + ROCIADORES ACEITE 3080708 (6);CUMMINS;CUMMINS;CUMMINS;MOTOR;19,00;$ 5.429.298,00
65237/65500 MER/802617;#N/D;SET RODILLO Y PISTA (65237/65500) EXTERNO DEL SPEED 46-160 DELANTERO, COMPAÑERO INTERNO (SET419), TAMBIEN ES INTERNO EN 46-170 Y EN MD150;#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;603,00;#N/D
PAI360-104-501;#N/D;OVERHAUL INTERNATIONAL DT360 PISTON 1817178 CONTIENE KIT MOTOR 401011 OEM 1817250 (PISTON (410010 OEM 1817178) X6 UNDS + BULON X6 UNDS + PINES X12 UNDS + ANILLOS X6 JGOS + CAMISA (400006 OEM 1809935) X6 UNDS + CAUHOS CAMISA X6 + CASQUETERIA BIELA STD (470080 OEM 1810038) X6 PAREJAS + CASQUETERIA BANCADA STD (470050 OEM 1823859) X1 JGO + EMPAQUETADURA SUPERIOR (431243 OEM 1817255) X1 UND + EMPAQUE CARTER (431200 OEM 671825) X1 UND CON EMPAQUES PEQUEÑOS X2 SIN FILTROS;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;36,00;#N/D
79A4202;79A8202;"FAN CLUTCH 2 TIEMPOS KW T800 12 CANALES 2½""";"FAN CLUTCH 2 TIEMPOS KW T800 12 CANALES 2½""";HORTON;HORTON;HORTON;AIRE;26,00;$ 4.347.900,00
WAB4324101202;WABPRO0102002;FILTRO SECADOR DE AIRE NEGRO SOLO SEPARA AGUA (ROSCA M39 x 1,5) (TODAS LAS MERCEDES/VOLVO TRANSMILENIO);FILTRO SECADOR DE AIRE NEGRO SOLO SEPARA AGUA (ROSCA M39 x 1,5) (TODAS LAS MERCEDES/VOLVO TRANSMILENIO);WABCO;WABCO;WABCO;AIRE;1278,00;$ 94.068,00
4303420B;#N/D;PIÑON SEGUNDA CORREDIZO 14718-16918;#N/D;FULLER;FULLER;FULLER;TRANSMISION;434,00;#N/D
KISX410145400/5579438;5579438;KIT REPARACION DE CULATA CUMMINS ISX -X15 CONTIENE (VALVULA ESCAPE 4101454 X12 UNDS + VALVULA ADMISION 3685996 X12 UNDS + CUÑA VALVULA ADMISION Y ESCAPE 3680883 X48 UNDS + ASIENTO ADMISION 3104445 X12 UNDS + ASIENTO ESCAPE 3679537 X12 UNDS + GUIA VALVULA ADMISION Y ESCAPE 4026657 X24 UNDS + SELLO (GORRO) ADMISION Y ESCAPE 4356366 X24 UNDS);KIT REPARACION DE CULATA CUMMINS ISX -X15 CONTIENE (VALVULA ESCAPE 4101454 X12 UNDS + VALVULA ADMISION 3685996 X12 UNDS + CUÑA VALVULA ADMISION Y ESCAPE 3680883 X48 UNDS + ASIENTO ADMISION 3104445 X12 UNDS + ASIENTO ESCAPE 3679537 X12 UNDS + GUIA VALVULA ADMISION Y ESCAPE 4026657 X24 UNDS + SELLO (GORRO) ADMISION Y ESCAPE 4356366 X24 UNDS);CUMMINS;CUMMINS;CUMMINS;MOTOR;20,00;$ 5.235.716,00
PAI466-105-001;#N/D;OVERHAUL INTERNATIONAL DT466 PISTON CUATRO RANURAS 688835 TIPO HONGO CONTIENE KIT MOTOR 401007 (PISTON (410005 OEM 688835) X6 UNDS + BULON X6 UNDS + PINES X12 UNDS + ANILLOS X6 JGOS + CAMISA (400005 OEM 1810504) X6 UNDS + CAUHOS CAMISA X6 + CASQUETERIA BIELA STD (470070 OEM 1823855) X1 JGO + CASQUETERIA BANCADA STD (47020 OEM 1823847) X1 JGO + EMPAQUETADURA SUPERIOR (431204 OEM 1817254) X1 UND + EMPAQUE CARTER (431201 OEM 671827) X1 UND CON EMPAQUE PEQUEÑO SIN FILTROS;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;29,00;#N/D
16627/290;0;BOLSA LEVANTA EJE SELLO MATI;BOLSA LEVANTA EJE SELLO MATI;FIRESTONE;FIRESTONE;FIRESTONE;SUSPENSION;456,00;$ 249.000,00
9373;0;BOLSA SUSPENSION CABEZOTE EAGLE Y MACK GRANITE;BOLSA SUSPENSION CABEZOTE EAGLE Y MACK GRANITE;FIRESTONE;FIRESTONE;FIRESTONE;SUSPENSION;227,00;$ 474.561,00
9501/9471 2TOR;#N/D;BOLSA DE SUSPENSION (9471 2TOR) PARA AD246 (PETROLERA);#N/D;FIRESTONE;FIRESTONE;FIRESTONE;SUSPENSION;143,00;#N/D
4026657;0;GUIA VALVULAS ADMISION Y ESCAPE ISX - X15 (USA 24 X MOTOR);GUIA VALVULAS ADMISION Y ESCAPE ISX - X15 (USA 24 X MOTOR);CUMMINS;CUMMINS;CUMMINS;MOTOR;2812,00;$ 32.957,00
210121-1X;0;"KIT SOPORTE CARDAN KODIAK DIA INTERNO:1""968";"KIT SOPORTE CARDAN KODIAK DIA INTERNO:1""968";SPICER;DANA;DANA;DIFERENCIAL;510,00;$ 174.000,00
PAI466-111-001;#N/D;OVERHAUL INTERNATIONAL DT466 MY ELECTRONICO PISTON 1836321 CONTIENE KIT MOTOR 401026 OEM 1836192 (PISTON (410030 OEM 1836321) X6 UNDS + BULON X6 UNDS + PINES X12 UNDS + ANILLOS X6 JGOS + CAMISA (400003 OEM 1841326) X6 UNDS + CAUHOS CAMISA X6 + CASQUETERIA BIELA STD (470130 OEM 1836020) X6 PAREJAS + CASQUETERIA BANCADA STD 470150 (CASQUETES 470140 OEM 1830725 + MEDIA LUNAS 470145 OEM 1830726) X1 JGO + EMPAQUETADURA SUPERIOR (431274 OEM 1830720) X1 UND + EMPAQUE CARTER (431252 OEM 1826587) X1 UND CON EMPAQUE PEQUEÑO;#N/D;PAI;PAI;PAI OVERHAUL;MOTOR;23,00;#N/D
SET415TMK;0;SET ROD Y PISTA (HM518445/HM518410) INTERNO Y EXTERNO PARA RUEDA DE TRAILER INCA Y AMPRO MODELO NUEVO;SET ROD Y PISTA (HM518445/HM518410) INTERNO Y EXTERNO PARA RUEDA DE TRAILER INCA Y AMPRO MODELO NUEVO;TIMKEN;TIMKEN;TIMKEN;RODAMIENTO;366,00;$ 262.193,00
21319B;#N/D;PIÑON MONO 14715;#N/D;FULLER;FULLER;FULLER;TRANSMISION;118,00;#N/D
